tituloOriginal,ranking,genero,anyo,presupuesto,duraccion,pais,titulo
American History X,#17,"Drama, Crimen",1998,20.000.000$,119 minutos,EE.UU.,American History X
,#1,,2003,,,The Lord of the Rings: The Return of the King,
,#19,,2001,,,The Lord of the Rings: The Fellowship of the Ring,
Interstellar,#16,"Ciencia ficción, Aventura, Misterio",2014,165.000.000$,169 minutos,EE.UU.,Interstellar
,#15,,1995,,,Toy Story,
The Shawshank Redemption,#20,"Crimen, Drama",1994,25.000.000$,142 minutos,EE.UU.,The Shawshank Redemption
,#10,,1980,,,Star Wars: Episode V - The Empire Strikes Back,
Titanic,#18,"Drama, Romance",1997,200.000.000$,194 minutos,EE.UU.,Titanic
,#11,,2012,,,The Dark Knight Rises,
Schindler's List,#6,"Guerra, Drama",1993,25.000.000$,195 minutos,EE.UU.,Schindler's List
,#12,,2002,,,The Lord of the Rings: The Two Towers,
,#9,,1974,,,The Godfather: Part II,
,,,,,,,
,,,,,,,
Forrest Gump,#7,"Comedia, Drama, Romance",1994,55.000.000$,124 minutos,EE.UU.,Forrest Gump
,,,,,,,
,,,,,,,
,#8,,2010,,,Toy Story 3,
,,,,,,,
,,,,,,,
Saving Private Ryan,#100,"Acción, Guerra, Drama",1998,70.000.000$,169 minutos,EE.UU.,Saving Private Ryan
Goodfellas,#99,"Crimen, Biografía, Drama",1990,25.000.000$,146 minutos,EE.UU.,Goodfellas
In the Name of the Father,#93,"Biografía, Drama, Thriller",1993,13.000.000€,133 minutos,Irlanda,In the Name of the Father
,#94,,2016,,,Rogue One: A Star Wars Story,
,#101,,2014,,,Dawn of the Planet of the Apes,
El desconocido,#452,Antena 3 Films,2015,,96 minutos,España,El desconocido
The Perks of Being a Wallflower,#201,"Drama, Romance",2012,13.000.000$,103 minutos,EE.UU.,The Perks of Being a Wallflower
,#95,,2015,,,Star Wars: Episode VII - The Force Awakens,
Black Swan,#97,"Drama, Thriller",2010,13.000.000$,108 minutos,EE.UU.,Black Swan
Hachiko: A Dog's Story,#300,"Inferno Distribution, Wide Pictures",2009,,93 minutos,EE.UU.,Hachiko: A Dog's Story
,#98,,2009,,,Harry Potter and the Half-Blood Prince,
,#96,,2002,,,Spider-Man,
